Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
Chesterfield Transfer Station,81 Auger Lake Rd,,Keeseville,NY,12944,Essex,5,5188349042,Town of Chesterfield,Municipal,Transfer facility - less than 50 tpd - registration,[16T10001],Yes,619930,4927123,1 - No accuracy stated,MSW (Residential/Institutional & Commercial),16T10001,05/03/2022,05/03/2027,"81 Auger Lake Rd
Keeseville, NY 12944
(44.488, -73.49219)"
Henderson Transfer Station,12105 Town Barn Road,,Henderson,NY,13650,Jefferson,6,3159387434,Town of Henderson,Municipal,Transfer facility - less than 50 tpd - registration,[23T10027],Yes,405056,4855056,4.1 - Address Matching,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),23T10027,08/19/2024,11/21/2029,"12105 Town Barn Road
Henderson, NY 13650
(43.84251, -76.18087)"
Lyme Transfer Station,27990 County Route 57,,Three Mile Bay,NY,13693,Jefferson,6,3156495165,Town of Lyme,Municipal,Transfer facility - less than 50 tpd - registration,[23T10015],Yes,400775,4880692,4.1 - Address Matching,Yard Trimmings;Construction & Demolition Debris;MSW (Residential/Institutional & Commercial),23T10015,11/21/2024,11/20/2029,"27990 County Route 57
Three Mile Bay, NY 13693
(44.07232, -76.23779)"
Daniel Finley Allen & Co Inc,114 Sylvester Street,,Westbury,NY,11590,Nassau,1,5163335711,Daniel C. Allen,Private,CDDHRF - permit,[30M19],Yes,621437,4512963,4.3 - Utilization of Digital Orthophoto Quads,Construction & Demolition Debris;Metals (Ferrous);Metals (Non-Ferrous);Wood (Pallets & Crates);Asphalt;Brick;Concrete;Wood (Clean);Wood (Unadulterated);Paper / Cardboard;Plastics,1-2822-00479/00004,03/12/2020,03/11/2025,"114 Sylvester Street
Westbury, NY 11590
(40.75857, -73.56161)"
L & D Acquisition; LLC,One Lake Niagara Lane,,Naples,NY,14512,Ontario,8,5855319000,L & D Acquisition; LLC/dba Hazlitt Red Cat Cellars,Private,Land application - biosolids/septage/other - permit,[35AP0005],Yes,303334,4721961,4.3 - Utilization of Digital Orthophoto Quads,Non-recognizable Food Processing Waste,8-3238-00118/00001,06/16/2023,06/15/2033,"One Lake Niagara Lane
Naples, NY 14512
(42.6215, -77.39819)"
Endicott (V) Biosolids,40 Anson Road,,Endicott,NY,13760,Broome,7,6077575352,Village of Endicott,,Composting - biosolids/other - permit,[04PP0019],Yes,409810,4659981,4.2 - Utilization of GIS and existing spatial data,Biosolids,7-0346-00011/00005,12/07/2023,10/11/2027,"40 Anson Road
Endicott, NY 13760
(42.08553, -76.08836)"
Hoosick Falls Transfer Station (V),Walnut St,,Hoosick Falls,NY,12090,Rensselaer,4,5186867072,Village of Hoosick Falls,Municipal,Transfer facility - less than 50 tpd - registration,[42T12801],Yes,634330,4753068,3 - Global Positioning System (GPS),Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);MSW (Residential/Institutional & Commercial);Commingled Recyclables,42T12801,12/19/2024,12/18/2029,
LBD Enterprises - Septage,Ditch Bank Road,,Lenox,NY,13032,Madison,7,3156873196,LBD Enterprises; LLC,Private,Land application - septage - registration,[27A40010],Yes,420505,4772381,4.3 - Utilization of Digital Orthophoto Quads,Septage,27A40010,10/08/2019,10/08/2024,
Edward Ozog,213 Brayton Rd.,,Poland,NY,13431,Herkimer,6,3155340222,New England Waste Services of ME. Inc; DBA Casella Organics,Private,Land application - UFPW - registration,[22A30018],Yes,0,0,1 - No accuracy stated,Sludge (Papermill),22A30018,08/13/2025,08/12/2030,"213 Brayton Rd.
Poland, NY 13431
(43.21434, -75.06891)"
St. Lawrence County Star Lake Transfer Station,4582 State Highway 3,,Star Lake,NY,13690,St. Lawrence,6,3153799084,St. Lawrence County Solid Waste Dept.,County,Transfer facility - source separated recyclables - registration,[45T30021],Yes,499654,4890110,,Single Stream;Electronics;Textiles;Metals (Ferrous & Non-Ferrous),45T30021,11/18/2024,11/17/2029,"4582 State Highway 3
Star Lake, NY 13690
(44.16455, -75.00699)"
Town of Forestport,6107 White Lake Road,,Forestport,NY,13338,Oneida,6,3153922801,Town of Forestport,Municipal,Transfer facility - less than 50 tpd - registration,[33T10028],Yes,483998,4809062,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Waste Tires,33T10028,08/18/2021,08/17/2026,"6107 White Lake Road
Forestport, NY 13338
(43.44263, -75.20016)"
Try Recycling Services; LLC,45 Garfield Ave.,,Bayshore,NY,11706,Suffolk,1,6318044102,Brussels-Leir Holding Ltd.,Private,C&D processing - permit,[52W122],Yes,644671,4514432,,Construction & Demolition Debris,1-4728-03986/00003,05/25/2017,05/24/2022,"45 Garfield Ave.
Bayshore, NY 11706
(40.76815, -73.28636)"
Try Recycling Services LLC,135 South Second St.,,Bayshore,NY,11706,Suffolk,1,6315861165,Try Recycling Services LLC,Private,Transfer station - permit,[52W54],Yes,644373,4514368,4.3 - Utilization of Digital Orthophoto Quads,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Tree Debris,1-4728-01451/00001,07/01/2017,06/30/2022,"135 South Second St.
Bayshore, NY 11706
(40.76728, -73.28925)"
Oceanside Transfer Station,3737 Long Beach Road,,Oceanside,NY,11572,Nassau,1,5163784210,Town of Hempstead Department of Sanitation,Municipal,Transfer facility - permit,[30TP0110],Yes,615142,4497197,4.2 - Utilization of GIS and existing spatial data,Yard Waste;White Goods;Concrete;Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous),1-2820-00435/00008,02/05/2019,02/04/2024,"3737 Long Beach Road
Oceanside, NY 11572
(40.61796, -73.64121)"
Ogdensburg LCD,Outer Champlain Street,,Ogdensburg,NY,13669,St. Lawrence,6,3153932300,City of Ogdensburg,Municipal,Landfill - land clearing debris,[45D09],Yes,461600,4943800,,,45D09,01/10/2013,,
New Scotland (T) Transfer Station,237 Upper Flat Rock Road,,Clarksville,NY,12041,Albany,4,5184750385,Town of New Scotland,Municipal,Transfer facility - less than 50 tpd - registration,[01T13401],Yes,585670,4715436,,Construction & Demolition Debris;Waste Tires;Electronics;Bulk Metal,01T13401,08/28/2024,08/27/2029,
Richmondville Shop,145 Podpadic Road,,Richmondville,NY,12149,Schoharie,4,5182949964,Lancaster Development; Inc.,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[48C60004],Yes,537934,4721679,4.1 - Address Matching,Soil (Clean);Sand;Gravel;Rock,48C10004,09/01/2023,08/31/2028,"145 Podpadic Road
Richmondville, NY 12149
(42.6476, -74.53695)"
Manitoba Corporation,122-130 Central Avenue,,Lancaster,NY,14086,Erie,9,7166857000,White Pine Leasing LLC,Private,Scrap metal processor - registration,[15V30084],Yes,200265,4756856,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous ;Stainless Steel,15V30084,12/18/2025,12/18/2030,"122-130 Central Avenue
Lancaster, NY 14086
(42.90561, -78.67217)"
Orzeck Auto Repair,256 Angel Hill Road,,New Berlin,NY,13411,Chenango,7,6078476667,Beverly J. Orzeck,Private,VDF - small - registration,[09V20014],Yes,471203,4717863,,End of Life Vehicles VDFs,09V20014,03/08/2019,03/07/2024,"256 Angel Hill Road
New Berlin, NY 13411
(42.61444, -75.33963)"
Johnson's Auto Crushers Inc,81 Ballard Road,,Wilton,NY,12831,Saratoga,5,5185848110,James V. Johnson,Private,Scrap metal processor - registration,[46V30022],Yes,606398,4779405,,Scrap Metal - Aluminum ;Scrap Metal - Ferrous ;Scrap Metal - Non-ferrous,46V20022,01/21/2025,01/20/2030,"81 Ballard Road
Wilton, NY 12831
(43.15893, -73.68908)"
East Coast Auto Salvage Inc,95-50 Tuckerton Street,,Jamaica,NY,11433,Queens,2,7187392025,East Coast Auto Salvage Inc,Private,VDF - registration,[41V50129],Yes,601239,4506071,4.2 - Utilization of GIS and existing spatial data,Engine Coolant/Antifreeze;Lead-acid Batteries;Mix Coolant/Engine Oil/Washing Fluid/Water;End of Life Vehicles VDFs,41V50129,03/05/2025,03/04/2030,"95-50 Tuckerton Street
Jamaica, NY 11433
(40.69917, -73.80116)"
Scofield Transfer and Recycling Inc,8620 Sanders Road,,Stafford,NY,14143,Genesee,8,5853437373,Bruce Scofield,Private,Transfer facility - permit,[19TP0018],Yes,247550,4764995,1 - No accuracy stated,Construction & Demolition Debris;Metals (Ferrous & Non-Ferrous);Tree Debris,8-1844-00019/00006,02/15/2011,02/14/2021,"8620 Sanders Road
Stafford, NY 14143
(42.99572, -78.09593)"
New York Transmission & Used Auto Sales,49-08 25th Ave,,Woodside,NY,11377,Queens,2,7187772641,Grego Rio,Private,Vehicle Dismantling Facility,[7085594],Yes,592476,4513209,,,,,,"49-08 25th Ave
Woodside, NY 11377
(40.76445, -73.9042)"
Bistrian Materials; Inc. d/b/a Calverton Materials,3968 Middle Country Road,,Calverton,NY,11933,Suffolk,1,6313691265,Bistrian Materials; Inc.,Private,CDDHRF - permit,[52CP0390],Yes,688610,4533439,4.3 - Utilization of Digital Orthophoto Quads,Asphalt;Brick;Asphalt Millings;Asphalt Pavement;CARB (concrete; asphalt; rock; brick);Concrete;Sand;Gravel;Rock;Soil (Clean);Mulch,1-4730-00597/00005,09/23/2024,09/22/2029,"3968 Middle Country Road
Calverton, NY 11933
(40.92778, -72.76002)"
Somerset Operating Station,7725 Lake Road,,Somerset,NY,14012-9600,Niagara,9,7167959501,AES Somerset LLC,Private,Landfill - industrial waste monofill - permit,[32N34],Yes,208545,4806299,,,,,,"7725 Lake Road
Somerset, NY 14012-9600
(43.34901, -78.61461)"
Jones Auto Fred Jones,1406 Levanna Road,,Union Springs,NY,13160,Cayuga,7,3152377093,Jones Auto,Private,VDF - registration,[06V50014],Yes,365264,4738001,4.1 - Address Matching,End of Life Vehicles VDFs,06V50014,09/12/2025,09/11/2030,"1406 Levanna Road
Union Springs, NY 13160
(42.78298, -76.64666)"
Pharmalogic Holdings; Corp,6464 Ridings Road,,Syracuse,NY,13206,Onondaga,7,3154636451,Pharmalogic Holdings Corp,Private,Regulated medical waste - radiopharmacy,[34X02],Yes,409795,4770826,,,7-3126-00225/00003,11/01/2016,10/31/2026,"6464 Ridings Road
Syracuse, NY 13206
(43.08476, -76.10852)"
Salt Lot Community Compost Site,22 2nd Avenue,,Brooklyn,NY,11215,Kings,2,7187258925,Big Initiatives; Inc. dba Big Reuse,,Composting - yard trimmings - registration,[24P10175],Yes,585206,4503152,4.2 - Utilization of GIS and existing spatial data,Wood/Brush;Leaves;Source Separated Organic Waste (SSOW),24P10175,12/01/2025,11/30/2030,"22 2nd Avenue
Brooklyn, NY 11215
(40.67477, -73.99158)"
Geneva (C) DPW C&D Processing,46 Doran Avenue,,Geneva,NY,14456,Ontario,8,3157898040,City of Geneva,Municipal,C&D processing - registration,[35W03],Yes,338835,4749271,4.3 - Utilization of Digital Orthophoto Quads,Tree Debris,35W03,06/02/1998,,"46 Doran Avenue
Geneva, NY 14456
(42.8782, -76.97204)"
Reeves/Norco LCD Landfill,Reeves Lane,,Plattsburgh,NY,12901,Clinton,5,5185367519,City of Plattsburgh,Municipal,Landfill - land clearing debris,[10D14],Yes,620022,4948645,1 - No accuracy stated,Land Clearing Debris,10D14,04/02/2002,,
Shulman Company Inc,197 East Washington Ave,,Elmira,NY,14901,Chemung,8,6077337111,Stephen Shulman,Private,RHRF - 5 tpd or less - registration,[08R10017],Yes,350453,4662544,4.3 - Utilization of Digital Orthophoto Quads,Plastic;Commingled Paper,08R10017,04/26/2022,04/26/2027,"197 East Washington Ave
Elmira, NY 14901
(42.10096, -76.80915)"
Don Glo Service Station Inc,27-29 Worth Street,,Yonkers,NY,10701,Westchester,3,9149686779,Douglas Foley,Private,Vehicle Dismantling Facility,[60J07],Yes,594381,4533646,,,,,,"27-29 Worth Street
Yonkers, NY 10701
(40.94876, -73.87865)"
Momentum Materials Management,0 N. Industrial Park Road,,Bath,NY,14810,Steuben,8,,,,Nonspecific facility - permit,[51XP0009],Yes,310508,4692975,4.2 - Utilization of GIS and existing spatial data,,8-4624-00207/00001,01/05/2024,01/04/2034,
Rockland County SWMA Hillburn Yardwaste,420 Torne Valley Road,PO Box 1217,Hillburn,NY,10931,Rockland,3,8457532200,Rockland County Solid Waste Management Authority,,Composting - yard trimmings - registration,[44P101],Yes,570269,4553325,,Yard Trimmings,44P101,06/14/2018,06/14/2023,"420 Torne Valley Road
Hillburn, NY 10931
(41.14663, -74.15324)"
Perkins; LLC,4343 S Whalen Road,,Great Valley,NY,14741,Cattaraugus,9,7163786420,Perkins LLC,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[05C90016],Yes,195861,4677063,4 - GIS Assisted,Concrete;Asphalt Pavement,05C90016,04/10/2024,04/10/2029,"4343 S Whalen Road
Great Valley, NY 14741
(42.18616, -78.68215)"
Absolute Auto Credit,1569 State Route 9,,Fort Edward,NY,12828,Saratoga,5,5187450316,Walter John Smith,Private,VDF - registration,[46V20018],Yes,609143,4790915,,Decommissioned ELVs SMPs,46V20018,10/08/2024,10/07/2029,"1569 State Route 9
Fort Edward, NY 12828
(43.26287, -73.65488)"
Monroe County Compost Facility - Van Lare,1574 Lake Shore Blvd.,,Rochester,NY,14617,Monroe,8,,Monroe County Dept. of Environmental Services,County,Composting - yard trimmings - registration,[28P10004],Yes,290976,4790557,4 - GIS Assisted,Yard Trimmings,28P10004,01/18/2024,01/17/2029,"1574 Lake Shore Blvd.
Rochester, NY 14617
(43.24093, -77.57355)"
Gernatt Asphalt Products; Inc. - Delevan Plant,11802 Route 16,,Yorkshire,NY,14042,Cattaraugus,9,7164920250,Gernatt Asphalt Products; Inc.,,CDDHRF - uncontaminated soil sand gravel rock - registration,[05C60032],Yes,214527,4712227,4.2 - Utilization of GIS and existing spatial data,Soil (Clean);Sand;Gravel;Rock,05C60032,04/03/2025,04/03/2030,"11802 Route 16
Yorkshire, NY 14042
(42.51207, -78.47835)"
Riccelli-Northern; LLC-Van Buren Bituminous Concrete Plant,6900 Van Buren Road,,Syracuse,NY,13209,Onondaga,7,,Riccelli Northern; LLC,Private,CDDHRF - storage only- concrete brick rock asphalt pavement - registration,[34CS0079],Yes,395422,4772991,1 - No accuracy stated,Asphalt Millings;Asphalt Pavement;Brick;Concrete;Rock,34CS0079,10/29/2025,10/28/2030,"6900 Van Buren Road
Syracuse, NY 13209
(43.10314, -76.28566)"
Brooklyn Resource Recovery Inc,5811 Preston Court,,Brooklyn,NY,11236,Kings,2,7185316606,Brooklyn Resource Recovery; Inc.,Private,Scrap metal processor - registration,[24V30213],Yes,591205,4499424,4.2 - Utilization of GIS and existing spatial data,Scrap Metal - Non-ferrous ;Scrap Metal - Ferrous,24V30213,07/28/2022,07/27/2027,"5811 Preston Court
Brooklyn, NY 11236
(40.6391, -73.92277)"
Tupper Lake Transfer Station,131 Little Wolf Pond Road,,Tupper Lake,NY,12986,Franklin,5,5183593350,CFSWMA,Municipal,RHRF - 5 tpd or less - registration,[17R10012],Yes,542604,4900600,4 - GIS Assisted,Container Glass;Mixed Commercial;Plastic;Metals (Ferrous);Metals (Non-Ferrous),17R10012,07/29/2022,07/29/2027,"131 Little Wolf Pond Road
Tupper Lake, NY 12986
(44.25301, -74.47035)"
New Castle Compost Site,200 Pinesbridge Road,,Millwood,NY,10546,Westchester,3,9142388525,Town of New Castle,,Composting - yard trimmings - registration,[60P10001],Yes,600400,4561546,,Yard Trimmings,60P10001,12/08/2022,12/07/2026,"200 Pinesbridge Road
Millwood, NY 10546
(41.20096, -73.80535)"
Route 29 Pit,NYS Route 29,,Saratoga Springs,NY,12866,Saratoga,5,5188852235,Saratoga County Dept. of Public Works,County,Landfill - land clearing debris,[46D29],Yes,607824,4771928,,Land Clearing Debris,46D29,04/05/2004,,
Gernatt Asphalt Products; Inc. - Hanover Plant,12670 Buffalo Road,,Irving,NY,14081,Chautauqua,9,7165490551,Gernatt Asphalt Products; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[07C90069],Yes,162890,4720285,,Concrete;Brick;Asphalt Millings;Asphalt Pavement,07C90069,04/03/2025,04/03/2030,"12670 Buffalo Road
Irving, NY 14081
(42.56188, -79.10681)"
NOCO Energy Corporation-Tonawanda,700 Grand Island Boulevard,,Tonawanda,NY,14150,Erie,9,7168746200,NOCO Energy Corporation,Private,Used oil - permit,[15QP0004],Yes,179324,4767537,4.2 - Utilization of GIS and existing spatial data,Waste Oil (Other);Waste Oil (Automotive);Used Oil,9-1464-00090/00046,03/16/2023,03/15/2033,"700 Grand Island Boulevard
Tonawanda, NY 14150
(42.99185, -78.92484)"
Webster Highway Department,1005 Picture Parkway,,Webster,NY,14580,Monroe,8,5858721443,Town of Webster,Municipal,Composting - yard trimmings - registration,[28P10018],Yes,300530,4788320,4.2 - Utilization of GIS and existing spatial data,Leaves;Wood/Brush,28P10018,08/22/2025,08/22/2030,"1005 Picture Parkway
Webster, NY 14580
(43.22279, -77.45619)"
Indian Lake Transfer Station,165 Chain Lakes Road,,Indian Lake,NY,12842,Hamilton,5,5186480223,Hamilton County Highway Dept,County,Transfer facility - less than 50 tpd - registration,[21T10004],Yes,561122,4848758,,,21T10004,07/26/2022,07/26/2027,"165 Chain Lakes Road
Indian Lake, NY 12842
(43.78888, -74.23825)"
RNV Green Processing & Supply Corp,1 Lane Gate Road,,Cold Spring,NY,10516,Putnam,3,8452654161,Ricky Ventura,Private,C&D processing - registration,[40W06],Yes,590488,4587121,1 - No accuracy stated,,40W06,11/29/2011,,"1 Lane Gate Road
Cold Spring, NY 10516
(41.42933, -73.91784)"
Hastings TS/RHRF,1391 US Rte 11,,Hastings,NY,13076,Oswego,7,3155919200,Oswego County DPW,Municipal,Transfer facility - less than 50 tpd - registration,[38T10016],Yes,406647,4798702,4.2 - Utilization of GIS and existing spatial data,Construction & Demolition Debris;Commingled Paper & Containers;MSW (Residential/Institutional & Commercial);Waste Tires;Single Stream;Tree Debris;Yard Trimmings;Food Scraps;Electronics;Metals (Ferrous & Non-Ferrous);Waste Oil (Other),38T10016,05/30/2024,05/29/2029,"1391 US Rte 11
Hastings, NY 13076
(43.33662, -76.15135)"
Diversion Brewing Co (DB Brewing),729 Wyncoop Creek Road,,Chemung,NY,14825,Chemung,8,6075429168,Dustin Blokzyl,,Land application - UFPW - registration,[08A30004],Yes,365728,4653061,4.2 - Utilization of GIS and existing spatial data,Non-recognizable Food Processing Waste,08A30004,01/11/2021,01/11/2026,"729 Wyncoop Creek Road
Chemung, NY 14825
(42.01786, -76.62164)"
Terwilliger Pit,8447 NYS Route 98,,Franklinville,NY,14737,Cattaraugus,9,7166762107,Rick Perkins Contracting; Inc.,Private,CDDHRF - asphalt pavement and millings - registration,[05C20027],Yes,217439,4697185,4.2 - Utilization of GIS and existing spatial data,Asphalt Millings,05C20027,02/09/2021,02/09/2026,"8447 NYS Route 98
Franklinville, NY 14737
(42.37158, -78.43176)"
Proskine Farm,182 Henry Road,,Norwich,NY,13815,Chenango,7,6073166049,Proskine Farm,Private,Storage - manure & food processing waste - registration,[09A20025],Yes,455949,4713162,3 - Global Positioning System (GPS),Non-recognizable Food Processing Waste,09A20025,06/07/2023,11/15/2027,"182 Henry Road
Norwich, NY 13815
(42.56999, -75.5363)"
Bolton Transfer Station,107 Finkle Road,PO Box 698,Bolton Landing,NY,12814,Warren,5,5186442973,Town of Bolton,Municipal,Transfer facility - less than 50 tpd - registration,[57T10002],Yes,606784,4825414,,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Tree Debris;White Goods;Metals (Ferrous & Non-Ferrous);Waste Tires,57T10002,11/02/2023,11/01/2028,"107 Finkle Road
Bolton Landing, NY 12814
(43.57372, -73.67746)"
Continental Auto Recycling Inc.,1961 Ulster Avenue,PO Box 362,Lake Katrine,NY,12449,Ulster,3,8453821212,Eric Michitsch,Private,VDF - registration,[56V50001],Yes,583881,4649191,,End of Life Vehicles VDFs,56V50001,01/28/2019,01/27/2023,"1961 Ulster Avenue
Lake Katrine, NY 12449
(41.99023, -73.98671)"
Farmer Pirates Compost,0 Gittere St.,,Buffalo,NY,14211,Erie,9,7166508629,Farmer Pirates Compost LLC,Private,Composting - SSO - registration,[15P20058],Yes,187491,4756720,4.2 - Utilization of GIS and existing spatial data,Source Separated Organic Waste (SSOW),15P20058,07/30/2024,07/30/2029,
Carmen Barbato Inc,2778 route 23,,Hillsdale,NY,12529,Columbia,4,5183253331,Carmen Barbato,Private,Transfer station - permit,[11T44],Yes,622700,4670900,1.1 - Obtained from original submission and unverified process,Construction & Demolition Debris;MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Tree Debris;Corrugated Cardboard;Glass;Metals (Ferrous & Non-Ferrous);Commingled Plastics,4-1042-00014/00003,12/10/2002,09/12/2027,"2778 route 23
Hillsdale, NY 12529
(42.18115, -73.51566)"
B & B Salvage,5079 NY 67,,Hoosick Falls,NY,12090,Rensselaer,4,5186867716,Robert Brenenstuhl,Private,VDF - small - registration,[42V22801],Yes,637542,4754343,,End of Life Vehicles VDFs,42V22801,06/14/2019,06/14/2024,"5079 NY 67
Hoosick Falls, NY 12090
(42.92938, -73.31332)"
Cayuga Compost,3225 Agard Road,,Trumansburg,NY,14886,Tompkins,7,6073876826,William & Mary Proctor,Private,Composting - source separated organic waste - permit,[55PP0004],Yes,367052,4709267,3.1 - Sportsman Hand-Held Unit (w/ Selective Availability on),,7-5036-00122/00001,11/13/2019,11/12/2029,"3225 Agard Road
Trumansburg, NY 14886
(42.52412, -76.62467)"
Sagaponack Sand & Gravel Corp,32 Haines Path,,Bridgehampton,NY,11932,Suffolk,1,6315372252,Keith Grimes,Private,C&D processing - registration,[52W176R],Yes,728020,4537019,1 - No accuracy stated,Asphalt;Concrete;Soil (Clean);Tree Debris;Wood (Chips);Rock,52W176R,08/31/2011,,"32 Haines Path
Bridgehampton, NY 11932
(40.95232, -72.28953)"
Avon (T) Highway Dept,5390 Agar Road,,Avon,NY,14414,Livingston,8,5852262425,Town of Avon,Municipal,Transfer facility - less than 50 tpd - registration,[26T10002],Yes,277444,4749907,3.6 - Unknown type,Tree Debris;One Day Annual Bulk Cleanup;Industrial Scrap Metal;Single Stream;Electronics;Waste Tires,26T10002,08/08/2025,08/07/2030,"5390 Agar Road
Avon, NY 14414
(42.87177, -77.72412)"
EWG Glass Recovery And Recycling 158th Street,94-54 158th Street,,Jamaica,NY,11433,Queens,2,7187397270,Edward Golebiewski,Private,RHRF - registration,[41R30056],Yes,602654,4506692,4.2 - Utilization of GIS and existing spatial data,Glass,41R30056,02/04/2025,02/03/2030,"94-54 158th Street
Jamaica, NY 11433
(40.7002, -73.7996)"
High Peaks Sand & Gravel LLC,617 Route 28N,,Chester,NY,12853,Warren,5,2039944686,Robert Zaloski,Private,CDDHRF - asphalt roofing shingles - registration,[57C30028],Yes,583298,4842639,,Asphalt Roofing Shingle,57C30028,02/29/2024,02/28/2029,"617 Route 28N
Chester, NY 12853
(43.732, -73.96483)"
Cardo Site Development Storage Yard,36 & 38 Old Country Road,,Quogue,NY,11959,Suffolk,1,6316534377,36-38 OCR LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[52C60272],Yes,701623,4523309,4.3 - Utilization of Digital Orthophoto Quads,Gravel;Soil (Clean);Sand,52-0272,05/29/2024,05/28/2029,"36 & 38 Old Country Road
Quogue, NY 11959
(40.83706, -72.6077)"
Moscow Road Pit,1700-1712 Moscow Road,,Hamlin,NY,14464,Monroe,8,5855894481,Keeler Construction; Inc.,Private,CDDHRF - concrete rock brick - registration,[28C10027],Yes,258617,4804225,4.2 - Utilization of GIS and existing spatial data,Concrete;Rock,28C10027,02/16/2022,02/15/2027,"1700-1712 Moscow Road
Hamlin, NY 14464
(43.3504, -77.97777)"
Philadelphia Transfer Station,32893 State Route 11,,Philadelphia,NY,13673,Jefferson,6,3156420119,Town of Philadelphia,Municipal,Transfer facility - source separated recyclables - registration,[23T30028],Yes,442736,4888142,4.1 - Address Matching,Metals (Ferrous & Non-Ferrous);Commingled Paper & Containers;Commingled Plastics;Electronics;Paperboard/Boxboard;Office Paper;Newspaper;Container Glass,23T30028,11/21/2024,11/20/2029,"32893 State Route 11
Philadelphia, NY 13673
(44.14397, -75.71652)"
Scott Smith's 24 Hour Towing Svc.,103 Railroad Street,,Malone,NY,12953,Franklin,5,5184830776,Scott Smith,Private,Motor vehicle repair shop - registration,[17V40006],Yes,555253,4966834,,End of Life Vehicles VDFs,17V40006,07/29/2024,07/28/2029,"103 Railroad Street
Malone, NY 12953
(44.85229, -74.30023)"
SM Gallivan Aggregates LLC,191 Watervliet Shaker Road,,Watervliet,NY,12189,Albany,4,,SM Gallivan Aggregates LLC,Private,CDDHRF - uncontaminated soil sand gravel rock - registration,[01C61803],Yes,605147,4730660,4.2 - Utilization of GIS and existing spatial data,Soil (Clean);Rock;Sand;Gravel,01C61803,06/24/2022,06/23/2027,"191 Watervliet Shaker Road
Watervliet, NY 12189
(42.72087, -73.71612)"
Pulcini Contracting Inc,1114 Vienna Rd.,,Palmyra,NY,14522,Wayne,8,3155733573,Brian Pulcini,Private,Land application - septage - registration,[59A41005],Yes,321410,4768816,1 - No accuracy stated,Septage,59A41005,,,"1114 Vienna Rd.
Palmyra, NY 14522
(43.05074, -77.1927)"
Adams Transfer Station - Lorraine,6224 County Rt 97,,Town of Lorraine,NY,13605,Jefferson,6,3152323057,Town of Adams,Municipal,Transfer facility - less than 50 tpd - registration,[23T10034],Yes,419329,4847764,1 - No accuracy stated,MSW (Residential/Institutional & Commercial);Waste Tires;Construction & Demolition Debris,23T10034,11/18/2020,11/17/2025,"6224 County Rt 97
Town of Lorraine, NY 13605
(43.77868, -76.00247)"
Orange County Transfer Station #3 (Port Jervis),86 Towpath Road,,Port Jervis,NY,12771,Orange,3,8454150580,County of Orange,Municipal,Transfer facility - less than 50 tpd - registration,[36T10002],Yes,527260,4581854,,MSW (Residential/Institutional & Commercial);Commingled Paper & Containers;Magazines,36T10002,06/17/2024,06/16/2029,"86 Towpath Road
Port Jervis, NY 12771
(41.39107, -74.67128)"
East Side Transfer Station,793 South Ogden Street,,Buffalo,NY,14206,Erie,9,7168230795,City of Buffalo,Municipal,RHRF - greater than 5 tpd - registration,[15R20096],Yes,189628,4754929,4.2 - Utilization of GIS and existing spatial data,Single Stream,15R20096,11/29/2021,11/29/2026,"793 South Ogden Street
Buffalo, NY 14206
(42.88329, -78.80113)"
WM Larned & Sons Inc - 828 Burdeck,828 Burdeck St.,,Rotterdam,NY,12306,Schenectady,4,5183746961,WM Larned & Sons; Inc.,Private,CDDHRF - concrete; rock; brick; asphalt pavement or millings - registration,[47C62802],Yes,581484,4738753,1 - No accuracy stated,Asphalt Millings;Asphalt Pavement;CARB (concrete; asphalt; rock; brick),47C62802,02/14/2025,02/13/2030,"828 Burdeck St.
Rotterdam, NY 12306
(42.79722, -74.00356)"
Somers Sanitation Transfer Station,241 Route 100,,Somers,NY,10589,Westchester,3,9149060120,Lawrence Bria,Private,Transfer facility - permit,[60TP0003],Yes,609077,4573789,,MSW (Residential/Institutional & Commercial);Construction & Demolition Debris;Commingled Paper & Containers;Single Stream;Yard Trimmings;Newspaper;Corrugated Cardboard;Metals (Ferrous & Non-Ferrous);Commingled Plastics;Concrete;Waste Tires,3-5552-00040/00005,03/24/2023,03/23/2028,"241 Route 100
Somers, NY 10589
(41.30817, -73.69528)"
